[2026-01-06 14:26:16] [MockTrain] === Simulation Started ===
[2026-01-06 14:26:16] [MockTrain] Mode: NORMAL
[2026-01-06 14:26:16] [MockTrain] Task scheduled for 20 seconds.
[2026-01-06 14:26:19] [MockTrain] Visible GPU Devices: 0
[2026-01-06 14:26:19] [MockTrain] Attempting to allocate 4.0GB VRAM...
[2026-01-06 14:26:19] [MockTrain] SUCCESS: Allocated 4.0GB VRAM on GPU. Memory is now occupied.
[2026-01-06 14:26:19] [MockTrain] Tensor shape: torch.Size([1073741824]), Device: cuda:0
[2026-01-06 14:26:19] [MockTrain] Starting dummy computations to spike GPU utilization...

Training: 0/20s | Loss: 0.3454 | 12.5it/s
Training: 0/20s | Loss: 0.5658 | 12.5it/s
Training: 1/20s | Loss: 0.4257 | 12.5it/s
Training: 1/20s | Loss: 0.1216 | 12.5it/s
Training: 2/20s | Loss: 0.0535 | 12.5it/s
Training: 2/20s | Loss: 0.0957 | 12.5it/s
Training: 3/20s | Loss: 0.6931 | 12.5it/s
Training: 3/20s | Loss: 0.9986 | 12.5it/s
Training: 4/20s | Loss: 0.2604 | 12.5it/s
Training: 4/20s | Loss: 0.9555 | 12.5it/s
Training: 5/20s | Loss: 0.4238 | 12.5it/s
Training: 5/20s | Loss: 0.0647 | 12.5it/s
Training: 6/20s | Loss: 0.8300 | 12.5it/s
Training: 6/20s | Loss: 0.5548 | 12.5it/s
Training: 7/20s | Loss: 0.7350 | 12.5it/s
Training: 7/20s | Loss: 0.2464 | 12.5it/s
Training: 8/20s | Loss: 0.6773 | 12.5it/s
Training: 8/20s | Loss: 0.4508 | 12.5it/s
Training: 9/20s | Loss: 0.6473 | 12.5it/s
Training: 9/20s | Loss: 0.0354 | 12.5it/s
Training: 10/20s | Loss: 0.8173 | 12.5it/s
Training: 10/20s | Loss: 0.9037 | 12.5it/s
Training: 11/20s | Loss: 0.1691 | 12.5it/s
Training: 11/20s | Loss: 0.7875 | 12.5it/s
Training: 12/20s | Loss: 0.8907 | 12.5it/s
Training: 12/20s | Loss: 0.8729 | 12.5it/s
Training: 13/20s | Loss: 0.9424 | 12.5it/s
Training: 13/20s | Loss: 0.6358 | 12.5it/s
Training: 14/20s | Loss: 0.0693 | 12.5it/s
Training: 14/20s | Loss: 0.6652 | 12.5it/s
Training: 15/20s | Loss: 0.9998 | 12.5it/s
Training: 15/20s | Loss: 0.7501 | 12.5it/s
Training: 16/20s | Loss: 0.0168 | 12.5it/s
Training: 16/20s | Loss: 0.7469 | 12.5it/s
Training: 17/20s | Loss: 0.2495 | 12.5it/s
Training: 17/20s | Loss: 0.6548 | 12.5it/s
Training: 18/20s | Loss: 0.2434 | 12.5it/s
Training: 18/20s | Loss: 0.3074 | 12.5it/s
Training: 19/20s | Loss: 0.2299 | 12.5it/s
Training: 19/20s | Loss: 0.5472 | 12.5it/s
[2026-01-06 14:26:40] [MockTrain] Artifact saved to D:\Desktop\Develop\SelfProject\AutoTrainer\test\mock1\result.png
[2026-01-06 14:26:40] [MockTrain] Main process finished successfully.
